Exp,Op,Matrix Size,Block Size,Time,P
matmul_cuda,1,1024,8,0.015789,N/A
matmul_cuda,1,1024,8,0.015635,N/A
matmul_cuda,1,1024,8,0.015803,N/A
matmul_cuda,1,2048,8,0.141257,N/A
matmul_cuda,1,2048,8,0.140545,N/A
matmul_cuda,1,2048,8,0.139573,N/A
matmul_cuda,1,3072,8,0.506046,N/A
matmul_cuda,1,3072,8,0.506132,N/A
matmul_cuda,1,3072,8,0.507769,N/A
matmul_cuda,1,4096,8,1.27613,N/A
matmul_cuda,1,4096,8,1.2774,N/A
matmul_cuda,1,4096,8,1.27618,N/A
matmul_cuda,1,5120,8,2.66096,N/A
matmul_cuda,1,5120,8,2.66956,N/A
matmul_cuda,1,5120,8,2.6814,N/A
matmul_cuda,1,6144,8,5.29417,N/A
matmul_cuda,1,6144,8,5.2778,N/A
matmul_cuda,1,6144,8,5.28224,N/A
matmul_cuda,1,7168,8,8.29738,N/A
matmul_cuda,1,7168,8,8.31743,N/A
matmul_cuda,1,7168,8,8.33142,N/A
matmul_cuda,1,8192,8,12.8991,N/A
matmul_cuda,1,8192,8,12.8916,N/A
matmul_cuda,1,8192,8,12.8322,N/A
